時間,ツイート本文,いいね,リツイート,ID
2022-11-15 03:00:03+00:00,"11月15日は #七五三 💚

観光地としても有名な鹿児島の #霧島神宮 にも七五三参りで行かれる方が多いようです！

ドレミちゃんは小さい時、お気に入りの緑の着物を着て、千歳飴の袋を握りしめ意気揚々と近所の神社にお参りしたようです🙋‍♀️（さすがに記憶が薄い）

皆さまも七五三の思い出ありますか？ https://t.co/9Kda5eKSp2",129,5,1592351695132139521
2022-11-14 08:02:17+00:00,"2022年11月12・13日にイオンモール沖縄ライカムで開催された”KOBE旅フェスタ＆出張マルシェ”へご来場ありがとうございました💚

航空教室や紙飛行機飛ばしイベントに参加してくださった皆さま、一緒に楽しい時間を過ごせて嬉しかったです✈️✨

次は、空の上でお会いできることを楽しみにしています♪ https://t.co/iG2t9ZDGbo https://t.co/e550GHxVat",89,3,1592065367052259328
2022-11-11 06:00:01+00:00,"11月11日は #チンアナゴの日 でもあります💙

砂の中から体を出す姿が数字の「1」に似ているからだそう！

今年開館20周年の #沖縄美ら海水族館 にもかわいいチンアナゴさんたちがいますよ♪

チンアナゴにもすごーく小さいですが、エラ・ヒレがちゃんとあるんです👀✨

沖縄でぜひ会ってみてね😄 https://t.co/K0S52oQeSG",114,9,1590947434565337090
2022-11-11 03:00:02+00:00,"11月11日は #ゴボチの日 💚

宮崎土産の鉄板 ごぼうのチップス「ゴボチ」を皆さまご存知でしょうか？？😋

食物繊維も豊富で罪悪感のないチップスに手が止まらない🤤

味もプレーン醤油味、ピリ辛味など、いろいろあってソラシドエアのパイロットもお気に入り♪

#パイロットおすすめ宮崎土産 https://t.co/8WWfkhpZ4g",181,16,1590902142327455747
2022-11-10 09:00:03+00:00,"2023年元日🌄
＼初日の出&amp;初詣フライト／

ソラシドエアと一緒に初日の出を見に行きませんか？✈️

羽田空港発、初日の出遊覧後、宮崎県の青島神社へご案内する九州をお楽しみいただけるコースをご用意しました♪

就航20周年記念特別優待、宮崎空港発着プランも✨

詳細へ👇",133,13,1590630352485244928
2022-11-10 08:01:16+00:00,"＼🗣️ソラシドエア×AIRDO 難読地名クイズ／

昨日のクイズの答えは・・！

🔵北海道⇒占冠（しむかっぷ）
🟢宮崎県⇒飫肥（おび）
でした🙋‍♀️

正解した皆さま、さすがです👏👏

飫肥は、江戸時代の武家屋敷などが残る歴史の街♫
飫肥城は #日本100名城 です！
街並みを散策しながら食べ歩きもおすすめ😋 https://t.co/D5U7xnNFcK",49,3,1590615562245541888
2022-11-10 03:00:01+00:00,"皆さま～アンニョンハセヨ🤗

くまモンのパッケージが可愛すぎて買ってみました！
ハンバーグの肉汁がたっぷりでジューシー💚
すっごく美味しかった (๑´ڡ`๑)ｳﾏｲ

熊本に行ったらぜひ食べてみてくださいね😊

＃海外育ちのファンちゃん
＃世界のご挨拶
＃熊本和牛あか牛ハンバーグ https://t.co/IPTFf9YwrT",126,10,1590539749831368707
2022-11-09 08:00:01+00:00,"リージョナルプラスウイングス設立記念✈️
AIRDOとのコラボ投稿✈️💚💙

今回は、
＼🗣️ソラシドエア×AIRDO 難読地名クイズ／

皆さまも読めるかな？☺️
ヒント👉〇の中に読み仮名が入ります！

🔵北海道⇒占冠（○○○っ○）
🟢宮崎県⇒飫肥（○○）

コメントで答えを教えてくださいね♪ https://t.co/37Nll7333X",208,15,1590252859521744897
2022-11-09 03:00:01+00:00,"パイロットおすすめ大分土産をご紹介👨‍✈️

50年以上愛され続けている大分の代表銘菓 #ざびえる

バター風味の生地と白餡の相性が抜群に美味しい一品😋

そしてこの高級感あふれるビロード調のパッケージもまたGood👍✨
ギフトやお土産にも間違いなし🙆‍♂️

大分に行ったら、ぜひチェックしてみてください💚 https://t.co/TqGox7k4kn",154,15,1590177362494181376
2022-11-09 01:00:01+00:00,"皆さま～✨

九州は本格的な紅葉シーズンを迎えていますね😊！
ロープウェイから見る紅葉も素敵です🍂🍁

今週末のお出かけにいかがですか✈？

#週刊ソラ子
#長崎県
#雲仙仁田峠 https://t.co/V3isEdB8KS",103,11,1590147163480285186
2022-11-08 09:00:03+00:00,"／
最大2,000円相当のVポイントがもらえる！
Solaseed Airカード・AIRDOカード 新規入会キャンペーン
＼

期間中に Solaseed Airカード または AIRDO カードに新規入会された方へ最大2,000円相当の三井住友カードのVポイントをプレゼント✨

■対象申込期間
2022年12月31日(土)まで

詳細はこちら👇",37,4,1589905576695316485
